Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Estimated Employment Rate (%),Estimated Labor Force,Estimated Unemployed,Estimated Working Population Proxy,Year,Month_Name,Is_Lockdown_Period
Tamil Nadu,30-11-2019,Monthly,2.65,11729952.0,37.38,Urban,97.35,12049257,319305,32234503,2019,November,0
Tamil Nadu,31-12-2019,Monthly,3.73,15356938.0,48.8,Rural,96.27,15951946,595008,32688413,2019,December,0
Tamil Nadu,31-12-2019,Monthly,8.05,12260389.0,41.29,Urban,91.95,13333756,1073367,32292944,2019,December,0
Tamil Nadu,31-01-2020,Monthly,1.18,14954646.0,46.23,Rural,98.82,15133218,178572,32734627,2020,January,0
Tamil Nadu,31-01-2020,Monthly,2.05,11926995.0,37.64,Urban,97.95,12176616,249621,32350201,2020,January,0
Tamil Nadu,29-02-2020,Monthly,1.17,15828488.0,48.86,Rural,98.83,16015874,187386,32779111,2020,February,0
Tamil Nadu,29-02-2020,Monthly,3.31,11742101.0,37.48,Urban,96.69,12144070,401969,32401467,2020,February,0
Tamil Nadu,31-03-2020,Monthly,6.36,15848590.0,51.56,Rural,93.64,16925021,1076431,32825875,2020,March,0
Tamil Nadu,31-03-2020,Monthly,6.46,10982178.0,36.17,Urban,93.54,11740622,758444,32459558,2020,March,0
Tamil Nadu,30-04-2020,Monthly,53.19,5086200.0,33.05,Rural,46.81,10865627,5779427,32876330,2020,April,1
Tamil Nadu,30-04-2020,Monthly,45.55,4632967.0,26.17,Urban,54.45,8508663,3875696,32513042,2020,April,1
Tamil Nadu,31-05-2020,Monthly,38.73,5768342.0,28.6,Rural,61.27,9414627,3646285,32918276,2020,May,1
Tamil Nadu,31-05-2020,Monthly,25.95,5733921.0,23.77,Urban,74.05,7743310,2009389,32575978,2020,May,1
Tamil Nadu,30-06-2020,Monthly,2.06,10169115.0,31.49,Rural,97.94,10383005,213890,32972388,2020,June,1
Tamil Nadu,30-06-2020,Monthly,24.93,7741005.0,31.6,Urban,75.07,10311716,2570711,32632012,2020,June,1
Telangana,31-05-2019,Monthly,2.23,11053353.0,61.74,Rural,97.77,11305465,252112,18311411,2019,May,0
Telangana,31-05-2019,Monthly,1.52,5560649.0,44.59,Urban,98.48,5646475,85826,12663098,2019,May,0
Telangana,30-06-2019,Monthly,5.92,10728822.0,62.19,Rural,94.08,11403935,675113,18337249,2019,June,0
Telangana,30-06-2019,Monthly,1.43,5683349.0,45.43,Urban,98.57,5765800,82451,12691613,2019,June,0
Telangana,31-07-2019,Monthly,2.45,11538688.0,64.4,Rural,97.55,11828486,289798,18367214,2019,July,0
Telangana,31-07-2019,Monthly,3.73,5432503.0,44.36,Urban,96.27,5642986,210483,12720889,2019,July,0
Telangana,31-08-2019,Monthly,1.4,10743959.0,59.23,Rural,98.6,10896510,152551,18396944,2019,August,0
Telangana,31-08-2019,Monthly,4.19,5544693.0,45.39,Urban,95.81,5787176,242483,12749891,2019,August,0
Telangana,30-09-2019,Monthly,5.49,12636415.0,72.57,Rural,94.51,13370453,734038,18424215,2019,September,0
Telangana,30-09-2019,Monthly,6.19,5668785.0,47.28,Urban,93.81,6042837,374052,12780957,2019,September,0
Telangana,31-10-2019,Monthly,7.29,11375354.0,66.49,Rural,92.71,12269824,894470,18453638,2019,October,0
Telangana,31-10-2019,Monthly,6.74,5318341.0,44.51,Urban,93.26,5702703,384362,12812184,2019,October,0
Telangana,30-11-2019,Monthly,6.47,11265828.0,65.17,Rural,93.53,12045149,779321,18482659,2019,November,0
Telangana,30-11-2019,Monthly,5.23,5338119.0,43.87,Urban,94.77,5632710,294591,12839548,2019,November,0
Telangana,31-12-2019,Monthly,1.35,11068056.0,60.61,Rural,98.65,11219520,151464,18511004,2019,December,0
Telangana,31-12-2019,Monthly,4.22,5317782.0,43.13,Urban,95.78,5552080,234298,12872895,2019,December,0
Telangana,31-01-2020,Monthly,5.02,12065915.0,68.51,Rural,94.98,12703638,637723,18542749,2020,January,0
Telangana,31-01-2020,Monthly,6.49,5543380.0,45.95,Urban,93.51,5928115,384735,12901229,2020,January,0
Telangana,29-02-2020,Monthly,9.02,11304474.0,66.92,Rural,90.98,12425230,1120756,18567289,2020,February,0
Telangana,29-02-2020,Monthly,6.74,5521496.0,45.78,Urban,93.26,5920540,399044,12932592,2020,February,0
Telangana,31-03-2020,Monthly,5.63,12028377.0,68.53,Rural,94.37,12745975,717598,18599118,2020,March,0
Telangana,31-03-2020,Monthly,6.1,5313236.0,43.65,Urban,93.9,5658398,345162,12963112,2020,March,0
Telangana,30-04-2020,Monthly,4.51,8793799.0,49.44,Rural,95.49,9209131,415332,18626883,2020,April,1
Telangana,30-04-2020,Monthly,10.5,3378431.0,29.05,Urban,89.5,3774783,396352,12994090,2020,April,1
Telangana,31-05-2020,Monthly,34.01,7508747.0,61.0,Rural,65.99000000000001,11378613,3869866,18653465,2020,May,1
Telangana,31-05-2020,Monthly,36.57,3108830.0,37.63,Urban,63.43,4901198,1792368,13024709,2020,May,1
Telangana,30-06-2020,Monthly,19.3,8891181.0,58.97,Rural,80.7,11017572,2126391,18683352,2020,June,1
Telangana,30-06-2020,Monthly,6.92,4577995.0,37.68,Urban,93.08,4918344,340349,13052931,2020,June,1
Tripura,31-05-2019,Monthly,29.25,1019549.0,64.47,Rural,70.75,1441059,421510,2235239,2019,May,0
Tripura,31-05-2019,Monthly,34.69,423127.0,69.5,Urban,65.31,647875,224748,932194,2019,May,0
Tripura,30-06-2019,Monthly,26.64,1107013.0,67.4,Rural,73.36,1509014,402001,2238894,2019,June,0
Tripura,30-06-2019,Monthly,25.59,408738.0,58.8,Urban,74.41,549305,140567,934193,2019,June,0
Tripura,31-07-2019,Monthly,22.47,1052597.0,60.54,Rural,77.53,1357664,305067,2242590,2019,July,0
